id,name,now_cost,position,team,transfers_in_event,goals_conceded,expected_goal_involvements,chance_of_playing_this_round,creativity,threat,dreamteam_count,bonus,red_cards,expected_goals_per_90,transfers_out,in_dreamteam,corners_and_indirect_freekicks_order,own_goals,influence_rank_type,ict_index_rank_type,selected_rank,goals_scored,transfers_in,event_points,value_form,selected_by_percent,cost_change_start_fall,minutes,total_points,cost_change_event,points_per_game_rank_type,selected_rank_type,bps,clean_sheets,threat_rank,status,influence,form_rank_type,news,clean_sheets_per_90,goals_conceded_per_90,form,ict_index,ep_this,cost_change_event_fall,web_name,ep_next,penalties_order,saves,starts,value_season,yellow_cards,cost_change_start,now_cost_rank_type,form_rank,points_per_game_rank,expected_goal_involvements_per_90,transfers_out_event,expected_goals_conceded_per_90,creativity_rank,threat_rank_type,expected_goals,chance_of_playing_next_round,starts_per_90,expected_goals_conceded,expected_assists,assists,creativity_rank_type,saves_per_90,news_added,points_per_game,expected_assists_per_90,influence_rank,direct_freekicks_order,now_cost_rank,ict_index_rank
148,Danny Welbeck,56,FWD,Brighton,435094,1,1.37,,48.5,84.0,1,6,0,0.7,76533,True,,0,2,2,49,2,686629,9,1.9,8.8,-1,168,21,1,2,8,79,1,9,a,102.2,2,,0.54,0.54,10.5,23.5,10.5,-1,Welbeck,9.5,3.0,0,2,3.8,0,1,29,3,4,0.73,45118,0.95,36,3,1.31,,1.07,1.77,0.06,1,1,0.0,,10.5,0.03,4,3.0,98,5
149,Mats Wieffer,50,MID,Brighton,895,0,0.02,,16.3,0.0,0,0,0,0.0,4993,False,,0,46,85,395,0,9973,0,0.6,0.2,0,90,6,0,16,140,20,1,557,a,31.0,40,,1.0,0.0,3.0,4.7,3.0,0,Wieffer,2.0,,0,1,1.2,0,0,179,105,31,0.02,2895,0.45,116,247,0.00,,1.0,0.45,0.02,1,83,0.0,,6.0,0.02,119,,272,158
595,Brajan Gruda,55,MID,Brighton,99,0,0.00,,0.0,0.0,0,0,0,0.0,1014,False,,0,274,275,549,0,366,0,0.0,0.0,0,0,0,0,275,234,0,0,602,a,0.0,275,,0.0,0.0,0.0,0.0,0.0,0,Gruda,-1.0,,0,0,0.0,0,0,85,607,607,0.0,424,0.0,610,270,0.00,,0.0,0.00,0.00,0,275,0.0,,0.0,0.0,610,,144,610
600,Yasin Ayari,50,MID,Brighton,165,0,0.05,,0.4,5.0,0,0,0,0.9,335,False,,0,125,140,579,0,447,1,0.2,0.0,0,2,2,0,145,253,3,0,184,a,5.4,126,,0.0,0.0,1.0,1.1,1.0,0,Ayari,0.0,,0,0,0.4,0,0,192,248,284,2.25,165,4.5,300,108,0.02,,0.0,0.10,0.03,0,169,0.0,,1.0,1.35,263,,293,286
601,Andrew Moran,50,MID,Brighton,0,0,0.00,0.0,0.0,0.0,0,0,0,0.0,260,False,,0,257,263,609,0,24,0,0.0,0.0,0,0,0,0,262,271,0,0,568,u,0.0,262,Loaned to Stoke City,0.0,0.0,0.0,0.0,0.0,0,Moran,0.0,,0,0,0.0,0,0,193,582,582,0.0,104,0.0,583,253,0.00,0.0,0.0,0.00,0.00,0,263,0.0,2024-08-20T12:19:09.002604Z,0.0,0.0,579,,294,586
615,Carl Rushworth,40,GKP,Brighton,2449,0,0.00,,0.0,0.0,0,0,0,0.0,1156,False,,0,47,47,460,0,4739,0,0.0,0.1,0,0,0,0,46,61,0,0,308,a,0.0,46,,0.0,0.0,0.0,0.0,0.0,0,Rushworth,-1.0,,0,0,0.0,0,0,64,382,382,0.0,604,0.0,366,26,0.00,,0.0,0.00,0.00,0,28,0.0,,0.0,0.0,378,,605,386
618,Georginio Rutter,55,MID,Brighton,1082,0,0.01,,0.8,0.0,0,0,0,0.0,710,False,,0,154,167,552,0,2822,1,0.2,0.0,0,1,1,0,158,236,4,0,599,a,1.6,134,,0.0,0.0,1.0,0.2,2.0,0,Georginio,1.0,,0,0,0.2,0,0,80,258,300,0.9,498,9.0,282,268,0.00,,0.0,0.10,0.01,0,161,0.0,,1.0,0.9,306,,137,326
150,Andrey Nascimento dos Santos,45,MID,Chelsea,0,0,0.00,0.0,0.0,0.0,0,0,0,0.0,323,False,,0,211,218,608,0,0,0,0.0,0.0,0,0,0,0,219,270,0,0,477,u,0.0,219,Has joined Strasbourg on a season-long loan,0.0,0.0,0.0,0.0,0.0,0,Andrey Santos,0.0,,0,0,0.0,0,0,268,517,517,0.0,82,0.0,510,196,0.00,0.0,0.0,0.00,0.00,0,219,0.0,2024-08-05T10:16:34.176364Z,0.0,0.0,510,,506,518
151,Ângelo Gabriel Borges Damaceno,45,MID,Chelsea,1350,0,0.00,,0.0,0.0,0,0,0,0.0,6118,False,,0,206,213,302,0,2792,0,0.0,0.3,0,0,0,0,214,100,0,0,471,a,0.0,214,,0.0,0.0,0.0,0.0,0.0,0,Ângelo,0.0,,0,0,0.0,0,0,263,511,511,0.0,2596,0.0,504,191,0.00,,0.0,0.00,0.00,0,214,0.0,,0.0,0.0,504,,499,512
152,Kepa Arrizabalaga,45,GKP,Chelsea,1110,0,0.00,,0.0,0.0,0,0,0,0.0,6964,False,,0,57,57,307,0,2567,0,0.0,0.3,0,0,0,0,56,43,0,0,368,a,0.0,56,,0.0,0.0,0.0,0.0,0.0,0,Arrizabalaga,0.0,,0,0,0.0,0,0,20,428,428,0.0,2700,0.0,417,42,0.00,,0.0,0.00,0.00,0,44,0.0,,0.0,0.0,423,,359,431
153,Benoît Badiashile,45,DEF,Chelsea,733,0,0.00,,0.0,0.0,0,0,0,0.0,3664,False,,0,186,186,413,0,1715,0,0.0,0.1,0,0,0,0,183,153,0,0,412,a,0.0,183,,0.0,0.0,0.0,0.0,0.0,0,B.Badiashile,0.0,,0,0,0.0,0,0,110,463,463,0.0,1417,0.0,454,170,0.00,,0.0,0.00,0.00,0,185,0.0,,0.0,0.0,456,,427,464
154,Lucas Bergström,40,GKP,Chelsea,1815,0,0.00,,0.0,0.0,0,0,0,0.0,2068,False,,0,48,48,318,0,3665,0,0.0,0.3,0,0,0,0,47,48,0,0,311,a,0.0,47,,0.0,0.0,0.0,0.0,0.0,0,Bergström,0.0,,0,0,0.0,0,0,65,385,385,0.0,1050,0.0,369,27,0.00,,0.0,0.00,0.00,0,29,0.0,,0.0,0.0,381,,608,389
155,Marcus Bettinelli,40,GKP,Chelsea,1167,0,0.00,,0.0,0.0,0,0,0,0.0,2395,False,,0,29,29,283,0,2425,0,0.0,0.4,0,0,0,0,28,38,0,0,269,a,0.0,28,,0.0,0.0,0.0,0.0,0.0,0,Bettinelli,0.0,,0,0,0.0,0,0,46,345,345,0.0,1097,0.0,328,8,0.00,,0.0,0.00,0.00,0,10,0.0,,0.0,0.0,340,,560,348
156,Armando Broja,55,FWD,Chelsea,710,0,0.00,,0.0,0.0,0,0,0,0.0,3429,False,,0,62,62,451,0,2411,0,0.0,0.1,0,0,0,0,61,62,0,0,597,a,0.0,61,,0.0,0.0,0.0,0.0,0.0,0,Broja,0.0,,0,0,0.0,0,0,37,603,603,0.0,1519,0.0,606,61,0.00,,0.0,0.00,0.00,0,62,0.0,,0.0,0.0,605,,132,606
157,Moisés Caicedo Corozo,50,MID,Chelsea,3388,4,0.11,,32.2,2.0,0,0,0,0.02,16031,False,,0,74,78,228,0,9723,2,0.3,0.6,0,165,3,0,99,79,20,0,242,a,20.4,96,,0.0,2.18,1.5,5.5,1.5,0,Caicedo,1.5,,0,2,0.6,1,0,183,195,201,0.06,7109,1.4,63,137,0.03,,1.09,2.57,0.08,0,52,0.0,,1.5,0.04,177,,279,132
158,Cesare Casadei,45,MID,Chelsea,1208,0,0.00,,0.0,0.0,0,0,0,0.0,3393,False,,0,203,210,426,0,2598,0,0.0,0.1,0,0,0,0,211,153,0,0,465,a,0.0,211,,0.0,0.0,0.0,0.0,0.0,0,Casadei,0.0,,0,0,0.0,0,0,258,507,507,0.0,1618,0.0,500,187,0.00,,0.0,0.00,0.00,0,211,0.0,,0.0,0.0,500,,491,508
159,Trevoh Chalobah,45,DEF,Chelsea,626,0,0.00,,0.0,0.0,0,0,0,0.0,4645,False,,0,170,170,374,0,1417,0,0.0,0.2,0,0,0,0,167,140,0,0,382,a,0.0,167,,0.0,0.0,0.0,0.0,0.0,0,Chalobah,0.0,,0,0,0.0,0,0,75,439,439,0.0,1780,0.0,429,150,0.00,,0.0,0.00,0.00,0,169,0.0,,0.0,0.0,433,,381,441
160,Ben Chilwell,49,DEF,Chelsea,2189,0,0.00,,0.0,0.0,0,0,0,0.0,26828,False,,0,195,195,213,0,6134,0,0.0,0.7,1,0,0,-1,193,78,0,0,501,a,0.0,193,,0.0,0.0,0.0,0.0,0.0,1,Chilwell,0.0,,0,0,0.0,0,-1,37,539,539,0.0,9449,0.0,531,189,0.00,,0.0,0.00,0.00,0,195,0.0,,0.0,0.0,533,,314,540
161,Carney Chukwuemeka,49,MID,Chelsea,401,0,0.00,,0.0,0.0,0,0,0,0.0,1776,False,,0,232,238,509,0,708,0,0.0,0.1,1,0,0,-1,238,201,0,0,509,a,0.0,238,,0.0,0.0,0.0,0.0,0.0,1,Chukwuemeka,0.0,,0,0,0.0,0,-1,212,546,546,0.0,720,0.0,538,217,0.00,,0.0,0.00,0.00,0,238,0.0,,0.0,0.0,540,,325,547
162,Levi Colwill,45,DEF,Chelsea,18615,4,0.01,,1.2,0.0,0,0,0,0.0,17171,False,,0,13,58,183,0,41376,1,0.2,1.0,0,180,2,0,80,67,18,0,431,a,41.6,69,,0.0,2.0,1.0,4.3,1.0,0,Colwill,1.0,,0,2,0.4,0,0,121,221,236,0.0,8769,1.34,267,176,0.00,,1.0,2.69,0.01,0,85,0.0,,1.0,0.0,62,,451,178
163,Marc Cucurella Saseta,50,DEF,Chelsea,33087,3,0.20,,9.2,2.0,0,0,0,0.0,110309,False,,0,52,67,64,0,90179,0,0.2,6.3,0,161,2,0,87,23,23,0,237,a,27.2,74,,0.0,1.68,1.0,3.8,1.0,0,Cucurella,1.0,,0,2,0.4,1,0,20,236,260,0.11,61013,1.39,179,73,0.00,,1.12,2.49,0.20,0,49,0.0,,1.0,0.11,139,,208,199
164,David Datro Fofana,55,FWD,Chelsea,693,0,0.00,,0.0,0.0,0,0,0,0.0,4453,False,,0,65,65,424,0,1750,0,0.0,0.1,0,0,0,0,64,56,0,0,603,a,0.0,64,,0.0,0.0,0.0,0.0,0.0,0,D.D.Fofana,0.0,,0,0,0.0,0,0,42,608,608,0.0,1758,0.0,611,64,0.00,,0.0,0.00,0.00,0,65,0.0,,0.0,0.0,611,,146,611
165,Deivid Washington de Souza Eugênio,50,FWD,Chelsea,1166,0,0.00,,0.0,0.0,0,0,0,0.0,2979,False,,0,58,59,440,0,2258,0,0.0,0.1,0,0,0,0,58,59,0,0,575,a,0.0,58,,0.0,0.0,0.0,0.0,0.0,0,Deivid,0.0,,0,0,0.0,0,0,61,587,587,0.0,1436,0.0,588,57,0.00,,0.0,0.00,0.00,0,59,0.0,,0.0,0.0,584,,305,591
166,Kiernan Dewsbury-Hall,59,MID,Chelsea,756,1,0.01,,1.8,0.0,0,0,0,0.0,8341,False,,0,151,160,346,0,2001,1,0.2,0.2,1,38,2,-1,160,118,5,0,607,a,2.0,135,,0.0,2.37,1.0,0.4,1.0,1,Dewsbury-Hall,1.0,,0,0,0.3,0,-1,56,260,304,0.02,3506,0.54,253,272,0.00,,0.0,0.23,0.01,0,148,0.0,,1.0,0.02,303,,92,317
167,Axel Disasi,44,DEF,Chelsea,1311,0,0.00,,0.0,0.0,0,0,0,0.0,12459,False,,0,155,155,287,0,2862,0,0.0,0.4,1,0,0,-1,151,110,0,0,339,a,0.0,151,,0.0,0.0,0.0,0.0,0.0,1,Disasi,0.0,,0,0,0.0,0,-1,147,412,412,0.0,4798,0.0,395,129,0.00,,0.0,0.00,0.00,0,154,0.0,,0.0,0.0,407,,538,415
168,Enzo Fernández,50,MID,Chelsea,16600,4,0.34,,35.4,30.0,0,0,0,0.11,39091,False,1.0,0,48,48,151,0,48997,2,0.4,1.7,0,180,4,0,80,50,31,0,62,a,30.4,77,,0.0,2.0,2.0,9.6,2.0,0,Enzo,2.0,4.0,0,2,0.8,0,0,173,150,155,0.17,19272,1.34,56,38,0.22,,1.0,2.69,0.12,0,47,0.0,,2.0,0.06,121,5.0,264,70
169,Conor Gallagher,59,MID,Chelsea,0,0,0.00,0.0,0.0,0.0,0,0,0,0.0,49678,False,,0,275,276,284,0,1567,0,0.0,0.4,1,0,0,0,276,91,0,0,608,u,0.0,276,Transferred to Atletico Madrid,0.0,0.0,0.0,0.0,0.0,0,Gallagher,0.0,,0,0,0.0,0,-1,58,610,610,0.0,16548,0.0,613,273,0.00,0.0,0.0,0.00,0.00,0,276,0.0,2024-08-22T11:20:34.236891Z,0.0,0.0,613,,94,613
170,Alfie Gilchrist,40,DEF,Chelsea,0,0,0.00,0.0,0.0,0.0,0,0,0,0.0,2879,False,,0,136,136,471,0,0,0,0.0,0.1,0,0,0,0,132,172,0,0,318,u,0.0,132,Has joined Sheffield United on a season-long,0.0,0.0,0.0,0.0,0.0,0,Gilchrist,0.0,,0,0,0.0,0,0,194,392,392,0.0,817,0.0,375,109,0.00,0.0,0.0,0.00,0.00,0,135,0.0,2024-08-09T11:15:16.064928Z,0.0,0.0,387,,616,395
171,Malo Gusto,50,DEF,Chelsea,24755,4,0.10,,19.2,8.0,0,0,0,0.0,52372,False,,0,63,41,101,0,58965,0,0.1,3.3,0,180,1,0,103,36,6,0,150,a,23.4,100,,0.0,2.0,0.5,5.1,0.5,0,Gusto,0.5,,0,2,0.2,1,0,31,310,330,0.05,29844,1.34,100,31,0.00,,1.0,2.69,0.10,0,20,0.0,,0.5,0.05,163,,277,145
172,Reece James,50,DEF,Chelsea,235,0,0.00,0.0,0.0,0.0,0,0,0,0.0,3084,False,4.0,0,201,201,455,0,499,0,0.0,0.1,0,0,0,0,199,169,0,0,538,s,0.0,199,Suspended until 14 Sep,0.0,0.0,0.0,0.0,0.0,0,James,0.0,,0,0,0.0,0,0,27,563,563,0.0,1168,0.0,561,197,0.00,0.0,0.0,0.00,0.00,0,201,0.0,2024-07-17T13:30:05.006577Z,0.0,0.0,557,2.0,237,564
173,Omari Kellyman,45,MID,Chelsea,283,0,0.00,,0.0,0.0,0,0,0,0.0,846,False,,0,214,221,531,0,580,0,0.0,0.0,0,0,0,0,222,218,0,0,480,a,0.0,222,,0.0,0.0,0.0,0.0,0.0,0,Kellyman,0.0,,0,0,0.0,0,0,271,520,520,0.0,373,0.0,513,199,0.00,,0.0,0.00,0.00,0,222,0.0,,0.0,0.0,513,,510,521
174,Roméo Lavia,45,MID,Chelsea,21870,1,0.18,,13.5,0.0,0,0,0,0.0,37651,False,,0,86,112,152,0,88059,0,0.2,1.7,0,65,2,0,68,51,18,0,468,a,15.2,114,,0.0,1.38,1.0,2.9,1.0,0,Lavia,1.0,,0,1,0.4,0,0,261,226,141,0.25,21605,0.91,149,189,0.00,,1.38,0.66,0.18,0,99,0.0,,2.0,0.25,203,,496,228
175,Romelu Lukaku Bolingoli,64,FWD,Chelsea,2563,0,0.00,,0.0,0.0,0,0,0,0.0,30259,False,,0,68,68,253,0,6845,0,0.0,0.5,1,0,0,0,67,42,0,0,613,a,0.0,67,,0.0,0.0,0.0,0.0,0.0,0,Lukaku,0.0,,0,0,0.0,0,-1,19,612,612,0.0,10470,0.0,617,67,0.00,,0.0,0.00,0.00,0,68,0.0,,0.0,0.0,615,,64,616
176,Malang Sarr,45,DEF,Chelsea,0,0,0.00,0.0,0.0,0.0,0,0,0,0.0,270,False,,0,174,174,613,0,0,0,0.0,0.0,0,0,0,0,171,202,0,0,389,u,0.0,171,Permanent move to RC Lens,0.0,0.0,0.0,0.0,0.0,0,M.Sarr,0.0,,0,0,0.0,0,0,82,446,446,0.0,52,0.0,436,154,0.00,0.0,0.0,0.00,0.00,0,173,0.0,2024-07-29T09:46:25.583703Z,0.0,0.0,440,,391,448
177,Noni Madueke,65,MID,Chelsea,531410,2,0.65,,15.4,88.0,1,3,0,0.54,37030,True,,0,1,6,66,3,534019,20,1.5,6.0,0,90,20,1,1,22,76,0,7,a,110.6,2,,0.0,2.0,10.0,21.4,10.0,-1,Madueke,10.0,3.0,0,1,3.1,0,0,36,4,1,0.65,27425,1.92,128,5,0.54,,1.0,1.92,0.11,0,89,0.0,,20.0,0.11,2,,55,8
178,Marc Guiu Paz,50,FWD,Chelsea,8814,1,0.00,,0.3,0.0,0,0,0,0.0,23343,False,,0,55,56,204,0,21765,0,0.1,0.8,0,24,1,0,29,33,2,0,566,a,0.0,35,,0.0,3.75,0.5,0.0,0.5,0,Marc Guiu,0.5,,0,0,0.2,0,0,58,313,282,0.0,11871,0.41,306,54,0.00,,0.0,0.11,0.00,0,35,0.0,,1.0,0.0,577,,289,584
179,Mykhailo Mudryk,65,MID,Chelsea,4039,2,0.01,,1.1,0.0,0,0,0,0.0,11656,False,3.0,0,282,282,301,0,5390,1,0.1,0.3,0,45,1,0,169,99,1,0,620,a,0.0,173,,0.0,4.0,0.5,0.0,0.5,0,Mudryk,0.5,,0,1,0.2,0,0,41,331,314,0.02,5209,3.5,274,281,0.00,,2.0,1.75,0.01,0,154,0.0,,1.0,0.02,622,,61,622
180,Nicolas Jackson,75,FWD,Chelsea,153685,3,0.71,,47.6,62.0,1,1,0,0.44,51025,False,,0,3,3,90,1,233246,10,0.8,4.0,0,132,12,0,5,16,42,0,16,a,56.8,5,,0.0,2.05,6.0,16.6,6.0,0,N.Jackson,6.0,,0,2,1.6,0,0,7,36,40,0.49,25113,1.68,38,4,0.64,,1.36,2.46,0.07,1,2,0.0,,6.0,0.05,27,,20,19
181,Christopher Nkunku,64,MID,Chelsea,26250,1,0.23,,23.8,13.0,0,0,0,0.21,526830,False,,0,99,84,36,0,106458,1,0.2,11.3,1,64,2,-1,167,13,12,0,125,a,11.8,137,,0.0,1.41,1.0,4.8,1.0,1,Nkunku,1.0,2.0,0,1,0.3,0,-1,48,262,312,0.32,395256,1.1,86,75,0.15,,1.41,0.78,0.08,0,66,0.0,,1.0,0.11,220,,69,156
182,Cole Palmer,105,MID,Chelsea,400320,4,1.08,,81.6,31.0,1,2,0,0.39,369980,True,2.0,0,2,4,4,1,466396,17,0.9,37.4,0,172,19,0,3,1,79,0,61,a,103.2,3,,0.0,2.09,9.5,21.6,9.5,0,Palmer,9.5,1.0,0,2,1.8,1,0,2,5,5,0.57,114630,1.34,10,37,0.74,,1.05,2.57,0.34,3,9,0.0,,9.5,0.18,3,1.0,3,6
183,Đorđe Petrović,44,GKP,Chelsea,880,0,0.00,,0.0,0.0,0,0,0,0.0,17818,False,,0,52,52,229,0,1918,0,0.0,0.6,1,0,0,-1,51,32,0,0,341,a,0.0,51,,0.0,0.0,0.0,0.0,0.0,1,Petrović,0.0,,0,0,0.0,0,-1,37,413,413,0.0,6222,0.0,396,31,0.00,,0.0,0.00,0.00,0,33,0.0,,0.0,0.0,408,,541,416
184,Renato Palma Veiga,45,MID,Chelsea,2906,1,0.00,,0.9,0.0,0,0,0,0.0,2905,False,,0,136,155,411,0,5359,1,0.2,0.1,0,17,2,0,119,148,6,0,483,a,3.4,115,,0.0,5.29,1.0,0.4,1.0,0,Renato Veiga,1.0,,0,0,0.4,0,0,274,228,245,0.0,1619,1.06,277,202,0.00,,0.0,0.20,0.00,0,156,0.0,,1.0,0.0,279,,513,311
185,Robert Sánchez,45,GKP,Chelsea,51710,4,0.00,,0.0,0.0,0,0,0,0.0,41474,False,,0,14,14,98,0,117105,1,0.3,3.6,0,180,3,0,18,15,15,0,395,a,38.4,17,,0.0,2.0,1.5,3.8,1.5,0,Sánchez,1.5,,5,2,0.7,0,0,27,173,179,0.0,23009,1.34,440,49,0.00,,1.0,2.69,0.00,0,50,2.5,,1.5,0.0,79,,399,198
186,Raheem Sterling,69,MID,Chelsea,1193,0,0.00,,0.0,0.0,0,0,0,0.0,55808,False,,0,283,283,174,0,3902,0,0.0,1.3,1,0,0,0,283,57,0,0,622,a,0.0,283,,0.0,0.0,0.0,0.0,0.0,0,Sterling,0.0,,0,0,0.0,0,-1,18,620,620,0.0,16269,0.0,624,282,0.00,,0.0,0.00,0.00,0,283,0.0,,0.0,0.0,624,3.0,34,624
187,Tosin Adarabioyo,44,DEF,Chelsea,241,0,0.00,,0.0,0.0,0,0,0,0.0,6253,False,,0,149,149,350,0,578,0,0.0,0.2,1,0,0,-1,145,126,0,0,333,a,0.0,145,,0.0,0.0,0.0,0.0,0.0,1,Tosin,0.0,,0,0,0.0,0,-1,140,406,406,0.0,2211,0.0,389,123,0.00,,0.0,0.00,0.00,0,148,0.0,,0.0,0.0,401,,531,409
189,Wesley Fofana,45,DEF,Chelsea,7873,4,0.05,,1.6,6.0,0,0,0,0.02,7719,False,,0,81,83,259,0,17834,1,0.2,0.5,0,180,2,0,79,97,5,0,170,a,15.8,68,,0.0,2.0,1.0,2.4,1.0,0,W.Fofana,1.0,,0,2,0.4,0,0,118,220,235,0.02,3934,1.34,257,44,0.04,,1.0,2.69,0.01,0,80,0.0,,1.0,0.0,199,,442,243
560,Pedro Lomba Neto,65,MID,Chelsea,9450,1,0.25,,40.0,15.0,0,0,0,0.05,32024,False,,0,51,53,182,0,20571,4,0.4,1.1,0,77,5,0,57,60,18,0,118,a,29.0,56,,0.0,1.17,2.5,8.4,2.5,0,Neto,2.5,,0,0,0.8,0,0,35,123,124,0.3,13224,0.33,47,72,0.04,,0.0,0.28,0.21,1,39,0.0,,2.5,0.25,128,,54,77
575,Caleb Wiley,40,DEF,Chelsea,0,0,0.00,0.0,0.0,0.0,0,0,0,0.0,1651,False,,0,133,133,538,0,0,0,0.0,0.0,0,0,0,0,128,183,0,0,312,u,0.0,128,Loaned to Strasbourg,0.0,0.0,0.0,0.0,0.0,0,Wiley,0.0,,0,0,0.0,0,0,189,386,386,0.0,384,0.0,370,105,0.00,0.0,0.0,0.00,0.00,0,132,0.0,2024-08-13T07:07:06.645739Z,0.0,0.0,382,,609,390
581,Filip Jørgensen,45,GKP,Chelsea,676,0,0.00,,0.0,0.0,0,0,0,0.0,7372,False,,0,66,66,305,0,2185,0,0.0,0.3,0,0,0,0,66,42,0,0,467,a,0.0,66,,0.0,0.0,0.0,0.0,0.0,0,Jørgensen,0.0,,0,0,0.0,0,0,35,509,509,0.0,3266,0.0,502,57,0.00,,0.0,0.00,0.00,0,58,0.0,,0.0,0.0,502,,493,510
621,João Félix Sequeira,65,MID,Chelsea,47730,0,0.20,,0.8,22.0,0,0,0,0.78,8563,False,,0,40,75,221,1,59717,6,0.9,0.7,0,22,6,0,20,75,25,0,91,a,34.6,18,,0.0,0.0,6.0,5.7,2.3,0,João Félix,2.3,,0,0,0.9,0,0,39,35,39,0.82,7139,0.49,283,56,0.19,,0.0,0.12,0.01,0,162,0.0,,6.0,0.04,101,,58,126
190,Naouirou Ahamada,45,MID,Crystal Palace,1922,0,0.00,,0.0,0.0,0,0,0,0.0,6808,False,,0,186,193,289,0,4720,0,0.0,0.4,0,0,0,0,194,93,0,0,438,a,0.0,194,,0.0,0.0,0.0,0.0,0.0,0,Ahamada,0.0,,0,0,0.0,0,0,238,484,484,0.0,3018,0.0,476,170,0.00,,0.0,0.00,0.00,0,194,0.0,,0.0,0.0,477,,458,485
193,Cheick Doucouré,50,MID,Crystal Palace,208,0,0.00,,2.8,0.0,0,0,0,0.0,2476,False,,0,160,162,466,0,865,0,0.1,0.1,0,6,1,0,139,171,4,0,548,a,0.4,155,,0.0,0.0,0.5,0.3,0.5,0,C.Doucouré,0.5,,0,0,0.2,0,0,168,306,273,0.0,1082,0.0,231,240,0.00,,0.0,0.00,0.00,0,135,0.0,,1.0,0.0,319,,258,320
194,Chris Richards,45,DEF,Crystal Palace,432,4,0.13,,2.9,4.0,0,0,0,0.07,3107,False,,0,69,78,373,0,1330,1,0.1,0.2,0,163,1,0,101,139,2,0,193,a,21.2,95,,0.0,2.21,0.5,2.8,0.5,0,C.Richards,0.5,,0,2,0.2,1,0,114,285,326,0.08,1010,1.5,227,54,0.12,,1.1,2.72,0.01,0,70,0.0,,0.5,0.01,175,,436,233
195,Chadi Riad Dnanou,45,DEF,Crystal Palace,405,2,0.02,,1.3,0.0,0,0,0,0.0,3365,False,,0,77,86,409,0,1080,1,0.1,0.1,0,90,1,0,84,150,3,0,470,a,18.2,97,,0.0,2.0,0.5,2.0,0.5,0,Chadi Riad,0.5,,0,1,0.2,0,0,134,289,243,0.02,1038,1.39,265,185,0.00,,1.0,1.39,0.02,0,84,0.0,,1.0,0.02,188,,498,260
196,Nathaniel Clyne,45,DEF,Crystal Palace,160,0,0.00,,0.0,0.0,0,0,0,0.0,2423,False,,0,161,161,436,0,462,0,0.0,0.1,0,0,0,0,156,162,0,0,353,a,0.0,156,,0.0,0.0,0.0,0.0,0.0,0,Clyne,0.0,,0,0,0.0,0,0,51,420,420,0.0,868,0.0,405,139,0.00,,0.0,0.00,0.00,0,160,0.0,,0.0,0.0,416,,339,424
197,Malcolm Ebiowei,45,MID,Crystal Palace,0,0,0.00,0.0,0.0,0.0,0,0,0,0.0,236,False,,0,178,185,612,0,0,0,0.0,0.0,0,0,0,0,186,274,0,0,425,u,0.0,186,Season long loan to Oxford United,0.0,0.0,0.0,0.0,0.0,0,Ebiowei,0.0,,0,0,0.0,0,0,230,473,473,0.0,55,0.0,464,162,0.00,0.0,0.0,0.00,0.00,0,186,0.0,2024-08-06T17:23:26.723638Z,0.0,0.0,466,,444,474
198,Odsonne Edouard,55,FWD,Crystal Palace,2922,2,0.42,,13.0,32.0,0,0,0,0.31,19968,False,,0,33,19,227,0,8202,2,0.3,0.7,0,115,3,0,22,37,3,0,58,a,0.8,21,,0.0,1.57,1.5,4.5,1.5,0,Edouard,1.5,3.0,0,1,0.5,0,0,34,203,209,0.33,7613,1.66,152,16,0.39,,0.78,2.12,0.03,0,16,0.0,,1.5,0.02,317,3.0,119,170
199,Eberechi Eze,70,MID,Crystal Palace,31270,4,1.08,,63.0,101.0,0,0,0,0.43,599919,False,1.0,0,50,12,11,0,149234,2,0.3,27.9,0,180,4,0,86,4,28,0,4,a,29.2,83,,0.0,2.0,2.0,19.3,2.0,0,Eze,2.0,1.0,0,2,0.6,0,0,15,161,166,0.54,394969,1.49,22,3,0.86,,1.0,2.98,0.22,0,19,0.0,,2.0,0.11,127,1.0,29,14
200,Marc Guéhi,45,DEF,Crystal Palace,9655,4,0.04,,3.4,0.0,0,0,0,0.0,95067,False,,0,8,26,62,0,30458,1,0.1,6.5,0,180,1,0,99,22,15,0,393,a,55.8,92,,0.0,2.0,0.5,6.0,0.5,0,Guéhi,0.5,,0,2,0.2,1,0,86,281,324,0.02,41821,1.49,216,158,0.00,,1.0,2.98,0.04,0,63,0.0,,0.5,0.02,30,,395,119
201,Dean Henderson,45,GKP,Crystal Palace,14458,4,0.00,,0.0,0.0,0,0,0,0.0,151257,False,,0,15,15,21,0,72709,1,0.3,16.1,0,180,3,0,17,3,6,0,381,a,37.8,16,,0.0,2.0,1.5,3.7,1.5,0,Henderson,1.5,,4,2,0.7,0,0,25,169,175,0.0,101963,1.49,428,47,0.00,,1.0,2.98,0.00,0,48,2.0,,1.5,0.0,85,,379,201
202,Rob Holding,45,DEF,Crystal Palace,105,0,0.00,,0.0,0.0,0,0,0,0.0,2007,False,,0,168,168,448,0,346,0,0.0,0.1,0,0,0,0,164,167,0,0,378,a,0.0,164,,0.0,0.0,0.0,0.0,0.0,0,Holding,0.0,,0,0,0.0,0,0,69,436,436,0.0,674,0.0,426,148,0.00,,0.0,0.00,0.00,0,167,0.0,,0.0,0.0,431,,373,439
